apskritis,metai,mirtingumas
Lietuvos_Respublika,2018,39574
Lietuvos_Respublika,2019,38281
Lietuvos_Respublika,2020,43547
Lietuvos_Respublika,2021,47746
Lietuvos_Respublika,2022,42884
Vilniaus_apskritis,2018,9633
Vilniaus_apskritis,2019,9404
Vilniaus_apskritis,2020,10585
Vilniaus_apskritis,2021,12022
Vilniaus_apskritis,2022,10420
Alytaus_apskritis,2018,2223
Alytaus_apskritis,2019,2240
Alytaus_apskritis,2020,2504
Alytaus_apskritis,2021,2762
Alytaus_apskritis,2022,2453
Kauno_apskritis,2018,7885
Kauno_apskritis,2019,7515
Kauno_apskritis,2020,8738
Kauno_apskritis,2021,9287
Kauno_apskritis,2022,8630
Klaipėdos_apskritis,2018,4180
Klaipėdos_apskritis,2019,4242
Klaipėdos_apskritis,2020,4811
Klaipėdos_apskritis,2021,5261
Klaipėdos_apskritis,2022,4713
Marijampolės_apskritis,2018,2216
Marijampolės_apskritis,2019,2136
Marijampolės_apskritis,2020,2404
Marijampolės_apskritis,2021,2583
Marijampolės_apskritis,2022,2343
Panevėžio_apskritis,2018,3461
Panevėžio_apskritis,2019,3363
Panevėžio_apskritis,2020,3849
Panevėžio_apskritis,2021,4164
Panevėžio_apskritis,2022,3697
Šiaulių_apskritis,2018,4142
Šiaulių_apskritis,2019,3799
Šiaulių_apskritis,2020,4462
Šiaulių_apskritis,2021,4851
Šiaulių_apskritis,2022,4460
Tauragės_apskritis,2018,1501
Tauragės_apskritis,2019,1374
Tauragės_apskritis,2020,1645
Tauragės_apskritis,2021,1753
Tauragės_apskritis,2022,1574
Telšių_apskritis,2018,1884
Telšių_apskritis,2019,1762
Telšių_apskritis,2020,1980
Telšių_apskritis,2021,2223
Telšių_apskritis,2022,2002
Utenos_apskritis,2018,2449
Utenos_apskritis,2019,2446
Utenos_apskritis,2020,2569
Utenos_apskritis,2021,2840
Utenos_apskritis,2022,2592
