year_id,gimstamumas,gimdymai,dvynukai,trynukai,Vilniaus_apskritis,Alytaus_apskritis,Kauno_apskritis,Klaipėdos_apskritis,Marijampolės_apskritis,Panevėžio_apskritis,Šiaulių_apskritis,Tauragės_apskritis,Telšių_apskritis,Utenos_apskritis,lytis
2018,28149,27862,387,6,9372,1092,5618,3477,1259,1789,2365,889,1303,985,VM
2019,27393,27124,372,5,8999,1080,5416,3408,1291,1743,2341,862,1321,932,VM
2020,25144,24779,429,9,8484,945,5195,3029,1023,1574,2106,787,1141,860,VM
2021,23330,23418,318,4,8083,838,4993,2863,942,1389,1833,618,1027,744,VM
2022,22068,22155,394,4,7716,749,4751,2670,899,1249,1826,642,886,680,VM
2018,14362,,,,4887,551,2871,1757,603,918,1161,438,674,502,V
2019,14086,,,,4583,571,2799,1745,661,905,1215,432,697,478,V
2020,13029,,,,4424,480,2672,1549,527,812,1086,406,612,461,V
2021,11891,,,,4069,443,2591,1440,495,737,924,299,510,383,V
2022,11198,,,,3945,396,2431,1357,450,608,909,336,437,329,V
2018,13787,,,,4485,541,2747,1720,656,871,1204,451,629,483,M
2019,13307,,,,4416,509,2617,1663,630,838,1126,430,624,454,M
2020,12115,,,,4060,465,2523,1480,496,762,1020,381,529,399,M
2021,11439,,,,4014,395,2402,1423,447,652,909,319,517,361,M
2022,10870,,,,3771,353,2320,1313,449,641,917,306,449,351,M
