year,region,suma,lytis
2018,Vilniaus_apskritis,9372,VM
2019,Vilniaus_apskritis,8999,VM
2020,Vilniaus_apskritis,8484,VM
2021,Vilniaus_apskritis,8083,VM
2022,Vilniaus_apskritis,7716,VM
2018,Vilniaus_apskritis,4887,V
2019,Vilniaus_apskritis,4583,V
2020,Vilniaus_apskritis,4424,V
2021,Vilniaus_apskritis,4069,V
2022,Vilniaus_apskritis,3945,V
2018,Vilniaus_apskritis,4485,M
2019,Vilniaus_apskritis,4416,M
2020,Vilniaus_apskritis,4060,M
2021,Vilniaus_apskritis,4014,M
2022,Vilniaus_apskritis,3771,M
2018,Alytaus_apskritis,1092,VM
2019,Alytaus_apskritis,1080,VM
2020,Alytaus_apskritis,945,VM
2021,Alytaus_apskritis,838,VM
2022,Alytaus_apskritis,749,VM
2018,Alytaus_apskritis,551,V
2019,Alytaus_apskritis,571,V
2020,Alytaus_apskritis,480,V
2021,Alytaus_apskritis,443,V
2022,Alytaus_apskritis,396,V
2018,Alytaus_apskritis,541,M
2019,Alytaus_apskritis,509,M
2020,Alytaus_apskritis,465,M
2021,Alytaus_apskritis,395,M
2022,Alytaus_apskritis,353,M
2018,Kauno_apskritis,5618,VM
2019,Kauno_apskritis,5416,VM
2020,Kauno_apskritis,5195,VM
2021,Kauno_apskritis,4993,VM
2022,Kauno_apskritis,4751,VM
2018,Kauno_apskritis,2871,V
2019,Kauno_apskritis,2799,V
2020,Kauno_apskritis,2672,V
2021,Kauno_apskritis,2591,V
2022,Kauno_apskritis,2431,V
2018,Kauno_apskritis,2747,M
2019,Kauno_apskritis,2617,M
2020,Kauno_apskritis,2523,M
2021,Kauno_apskritis,2402,M
2022,Kauno_apskritis,2320,M
2018,Klaipėdos_apskritis,3477,VM
2019,Klaipėdos_apskritis,3408,VM
2020,Klaipėdos_apskritis,3029,VM
2021,Klaipėdos_apskritis,2863,VM
2022,Klaipėdos_apskritis,2670,VM
2018,Klaipėdos_apskritis,1757,V
2019,Klaipėdos_apskritis,1745,V
2020,Klaipėdos_apskritis,1549,V
2021,Klaipėdos_apskritis,1440,V
2022,Klaipėdos_apskritis,1357,V
2018,Klaipėdos_apskritis,1720,M
2019,Klaipėdos_apskritis,1663,M
2020,Klaipėdos_apskritis,1480,M
2021,Klaipėdos_apskritis,1423,M
2022,Klaipėdos_apskritis,1313,M
2018,Marijampolės_apskritis,1259,VM
2019,Marijampolės_apskritis,1291,VM
2020,Marijampolės_apskritis,1023,VM
2021,Marijampolės_apskritis,942,VM
2022,Marijampolės_apskritis,899,VM
2018,Marijampolės_apskritis,603,V
2019,Marijampolės_apskritis,661,V
2020,Marijampolės_apskritis,527,V
2021,Marijampolės_apskritis,495,V
2022,Marijampolės_apskritis,450,V
2018,Marijampolės_apskritis,656,M
2019,Marijampolės_apskritis,630,M
2020,Marijampolės_apskritis,496,M
2021,Marijampolės_apskritis,447,M
2022,Marijampolės_apskritis,449,M
2018,Panevėžio_apskritis,1789,VM
2019,Panevėžio_apskritis,1743,VM
2020,Panevėžio_apskritis,1574,VM
2021,Panevėžio_apskritis,1389,VM
2022,Panevėžio_apskritis,1249,VM
2018,Panevėžio_apskritis,918,V
2019,Panevėžio_apskritis,905,V
2020,Panevėžio_apskritis,812,V
2021,Panevėžio_apskritis,737,V
2022,Panevėžio_apskritis,608,V
2018,Panevėžio_apskritis,871,M
2019,Panevėžio_apskritis,838,M
2020,Panevėžio_apskritis,762,M
2021,Panevėžio_apskritis,652,M
2022,Panevėžio_apskritis,641,M
2018,Šiaulių_apskritis,2365,VM
2019,Šiaulių_apskritis,2341,VM
2020,Šiaulių_apskritis,2106,VM
2021,Šiaulių_apskritis,1833,VM
2022,Šiaulių_apskritis,1826,VM
2018,Šiaulių_apskritis,1161,V
2019,Šiaulių_apskritis,1215,V
2020,Šiaulių_apskritis,1086,V
2021,Šiaulių_apskritis,924,V
